;logFC;AveExpr;t;P.Value;adj.P.Val;B
CPAR2_603010;-2.38606353325;-2.38606353325;-36.6665904309483;2.19595159078352e-08;7.23843245311027e-06;10.3969669842499
CPAR2_700940;-2.7164748604375;-2.7164748604375;-33.3386844778349;3.91291837375206e-08;9.82853951516085e-06;9.8451860114913
